"ProjectName","StepTemplate"
"PecuClient","Run a Script"
"PecuClient","Deploy a Package"
"PecuService","Deploy a Package"
"PecuDataManager","Deploy a Windows Service"
"PecuDataManager","Deploy a Windows Service"
"PecuDataManager","Deploy a Windows Service"
"PecuDataManager","Deploy a Windows Service"
"Phoenix - GUI","Deploy a Package"
"DataMerge","Deploy a Package"
"TPIAdminCore2019","Deploy a Package"
"Phoenix UI IIS-site","Deploy to IIS"
"Phoenix UI IIS-site","Deploy to IIS"
"Phoenix UI IIS-site","Deploy to IIS"
"Phoenix UI IIS-site","Deploy to IIS"
"RealTime_2019","Deploy a Package"
"ModuleConfigurator.UI","Deploy a Package"
"Linda_external_API","Deploy a Package"
"AS400.Service","Deploy a Package"
"HTBuffalo.Service","Deploy a Package"
"Saturn.Client","Deploy a Package"
"Users.Service","Deploy a Package"
"saturn_site","Deploy to IIS"
"saturn_site","Deploy to IIS"
"saturn_site","Deploy to IIS"
"saturn_site","Deploy to IIS"
"e-access-france-content","Deploy a Package"
"Linda_Client_Supply","Deploy a Package"
"NumberOfProjectsAndMachines","Run a Script"
"Smith-blair Sales Extranet","Deploy a Package"
"ESPThermal","Deploy to IIS"
"XylemPallet","Deploy a Package"
"MChar Client","Run a Script"
"TPIAdminDocumentUploaderAPI","Deploy a Package"
"TPIAdminDocumentUploaderClient","Deploy a Package"
"TpiDocumentUploaderSite","Deploy to IIS"
"TpiDocumentUploaderSite","Deploy to IIS"
"TpiDocumentUploaderSite","Deploy to IIS"
"TpiDocumentUploaderSite","Deploy to IIS"
"ServiceGuideMobileApp","Deploy a Package"
"ServiceGuideMobileApp","Deploy a Package"
"ServiceGuideMobileApp","Deploy a Package"
"JimmysPecuClient","Run a Script"
"JimmysPecuClient","Deploy a Package"
"JimmysPecuService","Deploy a Package"
"EspRep.Service","Deploy a Package"
"MCharWindowsService","Deploy a Windows Service"
"InvoiceManager","Deploy a Package"
"InvoiceManager","Deploy to IIS"
"InvoiceManager","Octopus.Email"
"GPSAdmin","Run a Script"
"GPSAdmin","Deploy to IIS"
"GPSAdmin","Deploy a Package"
"GPSKund","Deploy to IIS"
"GPSKund","Run a Script"
"GPSNyOrder","Deploy to IIS"
"GPSRapporter","Deploy to IIS"
"MGDatanet","Deploy to IIS"
"CqmAdminWebsite","Deploy a Package"
"PmcSite","Deploy to IIS"
"Capex","Deploy a Package"
"Capex","Octopus.Email"
"Applications","Deploy a Package"
"IIS Log Automation","Run a Script"
"GPSMQService","Deploy a Package"
"GPSSecurityService","Deploy a Package"
"Secad_Updates","Deploy a Package"
"GPSSite","Deploy to IIS"
"TPIClient","Deploy a Package"
"TPIClient","Deploy a Package"
"TPIClient","Deploy a Package"
"TPIServices","Deploy a Package"
"TPIServices","Deploy a Package"
"TPIServices","Deploy a Package"
"PmcExtranet","Deploy to IIS"
"InvoiceManagerExtractionScript","Deploy a Package"
"XylemSUVApplication","Deploy a Package"
"WebLogExpert-Automation","Run a Script"
"Poseidon_API_Postman_Tests","Deploy a Package"
